venue,venue_key,status,query,place,admin1,country_code,country,latitude,longitude,timezone,countries_voted,source,note
Adelaide Oval No. 2,adelaide oval no 2,mapped,Adelaide,Adelaide,South Australia,AU,Australia,-34.9287,138.5986,Australia/Adelaide,AU,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Affies Park,affies park,mapped,Windhoek,Windhoek,Khomas Region,NA,Namibia,-22.5594,17.0832,Africa/Windhoek,CA NA NP OM KE UG AE HK PG US ZW NL,open-meteo-geocoding,
Aigburth,aigburth,mapped,Liverpool,Liverpool,England,GB,United Kingdom,53.4106,-2.9779,Europe/London,GB,open-meteo-geocoding,
"Aigburth, Liverpool",aigburth liverpool,mapped,Liverpool,Liverpool,England,GB,United Kingdom,53.4106,-2.9779,Europe/London,GB,open-meteo-geocoding,
"Airforce Complex ground, Palam",airforce complex ground palam,mapped,Palam,Pālam,National Capital Territory of Delhi,IN,India,28.5886,77.0786,Asia/Kolkata,IN,open-meteo-geocoding,
"Airforce Complex ground, Palam II",airforce complex ground palam ii,mapped,New Delhi,New Delhi,National Capital Territory of Delhi,IN,India,28.6214,77.2148,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),al amerat cricket ground oman cricket ministry turf 1,mapped,Al Amarat,Al Amarat,Muscat,OM,Oman,23.5242,58.4975,Asia/Muscat,OM AE NP BH GB KW NL SA IE QA US NA PG CA HK DE SG WS JP DK BD KH KE UG MY MV,open-meteo-geocoding,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),al amerat cricket ground oman cricket ministry turf 2,mapped,Al Amarat,Al Amarat,Muscat,OM,Oman,23.5242,58.4975,Asia/Muscat,OM BH AE QA SA KW DK PH PG GB MY UG SG NP KE US DE IE HK JP IR CA KH WS,open-meteo-geocoding,
Al Dhaid Cricket Village,al dhaid cricket village,mapped,Sharjah,Sharjah city,Emirate of Sharjah,AE,United Arab Emirates,25.3342,55.4122,Asia/Dubai,GB MY MV KW SA OM SG,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Albert Park 1,albert park 1,mapped,Suva,Suva,Central,FJ,Fiji,-18.1368,178.4253,Pacific/Fiji,FJ VU PG WS,open-meteo-geocoding,
"Albert Park 1, Suva",albert park 1 suva,mapped,Suva,Suva,Central,FJ,Fiji,-18.1368,178.4253,Pacific/Fiji,FJ JP CK VU ID WS PG PH,open-meteo-geocoding,
Albert Park 2,albert park 2,mapped,Suva,Suvat,Madang Province,PG,Papua New Guinea,-4.4797,145.2238,Pacific/Port_Moresby,PG WS VU FJ,open-meteo-geocoding,
"Albert Park 2, Suva",albert park 2 suva,mapped,Suva,Suvat,Madang Province,PG,Papua New Guinea,-4.4797,145.2238,Pacific/Port_Moresby,JP PH PG WS ID FJ CK VU,open-meteo-geocoding,
Albertslund Cricket Club,albertslund cricket club,mapped,Copenhagen,Copenhagen,Capital Region,DK,Denmark,55.6759,12.5655,Europe/Copenhagen,DK SE NO FI,open-meteo-geocoding,
Alembic 1 Cricket Ground,alembic 1 cricket ground,mapped,Vadodara,Vadodara,Gujarat,IN,India,22.2994,73.2081,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Alembic 2  Cricket Ground,alembic 2 cricket ground,mapped,Vadodara,Vadodara,Gujarat,IN,India,22.2994,73.2081,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Allan Border Field,allan border field,mapped,Brisbane,Brisbane,Queensland,AU,Australia,-27.4679,153.0281,Australia/Brisbane,AU NZ LK GB,open-meteo-geocoding,
"Allan Border Field, Brisbane",allan border field brisbane,mapped,Brisbane,Brisbane,Queensland,AU,Australia,-27.4679,153.0281,Australia/Brisbane,AU IN PK JM TT BB GY LC VC AG GD KN DM NZ,open-meteo-geocoding,
Alur Cricket Stadium,alur cricket stadium,mapped,Bengaluru,Bengaluru,Karnataka,IN,India,12.9719,77.5937,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Alur Cricket Stadium II,alur cricket stadium ii,mapped,Bengaluru,Bengaluru,Karnataka,IN,India,12.9719,77.5937,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Alur Cricket Stadium III,alur cricket stadium iii,mapped,Bengaluru,Bengaluru,Karnataka,IN,India,12.9719,77.5937,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Amini Park,amini park,mapped,Port Moresby,Port Moresby,National Capital,PG,Papua New Guinea,-9.4772,147.1509,Pacific/Port_Moresby,PG PH VU NA KE,open-meteo-geocoding,
"Amini Park, Port Moresby",amini park port moresby,mapped,Port Moresby,Port Moresby,National Capital,PG,Papua New Guinea,-9.4772,147.1509,Pacific/Port_Moresby,PG VU JP PH TH US NA WS AE,open-meteo-geocoding,
"Ampleforth College, Ampleforth",ampleforth college ampleforth,mapped,York,York,England,GB,United Kingdom,53.9576,-1.0827,Europe/London,GB,open-meteo-geocoding,
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,andhra cricket association visakhapatnam district cricket association stadium,mapped,Visakhapatnam,Visakhapatnam,Andhra Pradesh,IN,India,17.6801,83.2016,Asia/Kolkata,IN LK,open-meteo-geocoding,
Antigua Recreation Ground,antigua recreation ground,mapped,St John's,St John's,Saint John Parish,AG,Antigua and Barbuda,17.1210,-61.8433,America/Antigua,JM TT BB GY LC VC AG GD KN DM ZA GB,open-meteo-geocoding,
"Antigua Recreation Ground, St John's",antigua recreation ground st john s,mapped,Antigua,Antigua,,AG,Antigua and Barbuda,17.0761,-61.7954,America/Antigua,JM TT BB GY LC VC AG GD KN DM ZW IN GB,open-meteo-geocoding,
"Antigua Recreation Ground, St John's, Antigua",antigua recreation ground st john s antigua,mapped,St John's,St John's,Saint John Parish,AG,Antigua and Barbuda,17.1210,-61.8433,America/Antigua,AU JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
Arbab Niaz Stadium,arbab niaz stadium,mapped,Peshawar,Peshawar,Khyber Pakhtunkhwa,PK,Pakistan,34.0080,71.5785,Asia/Karachi,PK IN ZW,open-meteo-geocoding,
"Army Ground, Panagoda",army ground panagoda,mapped,Panagoda,Panagoda,Uva Province,LK,Sri Lanka,6.9671,81.1447,Asia/Colombo,LK,open-meteo-geocoding,
Arnos Vale Ground,arnos vale ground,mapped,Kingstown,Kingstown,Saint George Parish,VC,Saint Vincent and the Grenadines,13.1553,-61.2274,America/St_Vincent,BD JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Arnos Vale Ground, Kingstown",arnos vale ground kingstown,mapped,Kingstown,Kingstown,Saint George Parish,VC,Saint Vincent and the Grenadines,13.1553,-61.2274,America/St_Vincent,JM TT BB GY LC VC AG GD KN DM ZW AU PK BD,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Arnos Vale Ground, Kingstown, St Vincent",arnos vale ground kingstown st vincent,mapped,Kingstown,Kingstown,Saint George Parish,VC,Saint Vincent and the Grenadines,13.1553,-61.2274,America/St_Vincent,JM TT BB GY LC VC AG GD KN DM BD AU US NP NL ZA LK,open-meteo-geocoding,
Arun Jaitley Stadium,arun jaitley stadium,mapped,Delhi,Delhi,National Capital Territory of Delhi,IN,India,28.6519,77.2315,Asia/Kolkata,IN PK NZ LK AU BD,open-meteo-geocoding,
"Arun Jaitley Stadium, Delhi",arun jaitley stadium delhi,mapped,Delhi,Delhi,National Capital Territory of Delhi,IN,India,28.6519,77.2315,Asia/Kolkata,IN ZA AU LK NL BD NA AE JM TT BB GY LC VC AG GD KN DM CA ZW,open-meteo-geocoding,
Arundel Castle Cricket Club Ground,arundel castle cricket club ground,mapped,Arundel,Arundel,England,GB,United Kingdom,50.8542,-0.5539,Europe/London,GB JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
Asgiriya Stadium,asgiriya stadium,mapped,Kandy,Kandy,Central Province,LK,Sri Lanka,7.2906,80.6336,Asia/Colombo,LK PK GB BD,open-meteo-geocoding,
Ashlyns Road,ashlyns road,mapped,Frinton-on-Sea,Frinton-on-Sea,England,GB,United Kingdom,51.8306,1.2442,Europe/London,GG KY VU BW NO,open-meteo-geocoding,country not among the archive's votes
Asian Institute of Technology Ground,asian institute of technology ground,mapped,Bangkok,Bangkok,Bangkok,TH,Thailand,13.7540,100.5014,Asia/Bangkok,HK CN NP KW AE TH MY PG NL GB ZW IN PK IE BD,open-meteo-geocoding,
"Asian Institute of Technology Ground, Bangkok",asian institute of technology ground bangkok,mapped,Bangkok,Bangkok,Bangkok,TH,Thailand,13.7540,100.5014,Asia/Bangkok,AE NA TZ GB PG TH UG NL MY NP HK,open-meteo-geocoding,
Aurora Stadium,aurora stadium,mapped,Launceston,Launceston,Tasmania,AU,Australia,-41.4388,147.1347,Australia/Hobart,AU,open-meteo-geocoding,
"Aurora Stadium, Launceston",aurora stadium launceston,mapped,Launceston,Launceston,Tasmania,AU,Australia,-41.4388,147.1347,Australia/Hobart,AU,open-meteo-geocoding,
BKC Ground,bkc ground,mapped,Mumbai,Mumbai,Maharashtra,IN,India,19.0728,72.8826,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Ballpark Ground, Graz",ballpark ground graz,mapped,Graz,Graz,Styria,AT,Austria,47.0673,15.4420,Europe/Vienna,SI AT,open-meteo-geocoding,
Bangabandhu National Stadium,bangabandhu national stadium,mapped,Dhaka,Dhaka,Dhaka Division,BD,Bangladesh,23.7104,90.4074,Asia/Dhaka,BD IN ZW,open-meteo-geocoding,
"Bangabandhu National Stadium, Dhaka",bangabandhu national stadium dhaka,mapped,Dhaka,Dhaka,Dhaka Division,BD,Bangladesh,23.7104,90.4074,Asia/Dhaka,BD GB IN ZA,open-meteo-geocoding,
"Banks Field, Vinor",banks field vinor,mapped,Prague,Prague,Prague,CZ,Czechia,50.0880,14.4208,Europe/Prague,NO LU CZ,open-meteo-geocoding,
Bankstown Oval,bankstown oval,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
"Bankstown Oval, Sydney",bankstown oval sydney,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU GB,open-meteo-geocoding,
Barabati Stadium,barabati stadium,mapped,Cuttack,Cuttack,Odisha,IN,India,20.4650,85.8793,Asia/Kolkata,IN LK GB JM TT BB GY LC VC AG GD KN DM ZA,open-meteo-geocoding,
"Barabati Stadium, Cuttack",barabati stadium cuttack,mapped,Cuttack,Cuttack,Odisha,IN,India,20.4650,85.8793,Asia/Kolkata,IN ZA GB NZ,open-meteo-geocoding,
Barsapara Cricket Stadium,barsapara cricket stadium,mapped,Guwahati,Guwahati,Assam,IN,India,26.1844,91.7458,Asia/Kolkata,IN GB AU JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Barsapara Cricket Stadium, Guwahati",barsapara cricket stadium guwahati,mapped,Guwahati,Guwahati,Assam,IN,India,26.1844,91.7458,Asia/Kolkata,IN ZA GB LK NZ BD AU,open-meteo-geocoding,
Basin Reserve,basin reserve,mapped,Wellington,Wellington,Wellington Region,NZ,New Zealand,-41.2866,174.7756,Pacific/Auckland,NZ PK BD ZA AU JM TT BB GY LC VC AG GD KN DM IN LK GB,open-meteo-geocoding,
"Basin Reserve, Wellington",basin reserve wellington,mapped,Wellington,Wellington,Wellington Region,NZ,New Zealand,-41.2866,174.7756,Pacific/Auckland,NZ AU GB ZA JM TT BB GY LC VC AG GD KN DM LK BD,open-meteo-geocoding,
Bay Oval,bay oval,mapped,Mount Maunganui,Mount Maunganui,Bay of Plenty,NZ,New Zealand,-37.6417,176.1861,Pacific/Auckland,NZ JM TT BB GY LC VC AG GD KN DM AU IN LK ZA BD GB PK CA NL,open-meteo-geocoding,
"Bay Oval, Mount Maunganui",bay oval mount maunganui,mapped,Mount Maunganui,Mount Maunganui,Bay of Plenty,NZ,New Zealand,-37.6417,176.1861,Pacific/Auckland,NZ AU PK ZA GB BD JM TT BB GY LC VC AG GD KN DM IN LK NL,open-meteo-geocoding,
Bayer Uerdingen Cricket Ground,bayer uerdingen cricket ground,mapped,Krefeld,Krefeld,North Rhine-Westphalia,DE,Germany,51.3364,6.5538,Europe/Berlin,DE NO AT SE FR JE BE IT RS GI HR SI,open-meteo-geocoding,
Bayuemas Oval,bayuemas oval,mapped,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,MY,Malaysia,3.1412,101.6865,Asia/Kuala_Lumpur,NP SG MY MM TH US BM CN KY UG BT TZ DK JE HK,open-meteo-geocoding,
"Bayuemas Oval, Kuala Lumpur",bayuemas oval kuala lumpur,mapped,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,MY,Malaysia,3.1412,101.6865,Asia/Kuala_Lumpur,MY TH HK BH NP KW SG MM ID CN AE SA VU BT PG MV MN JP TZ DK CA QA PH,open-meteo-geocoding,
"Beausejour Stadium, Gros Islet",beausejour stadium gros islet,mapped,Gros Islet,Gros Islet,Gros-Islet,LC,Saint Lucia,14.0667,-60.9500,America/St_Lucia,JM TT BB GY LC VC AG GD KN DM PK AU GB NZ ZA IN LK ZW CA KE BD,open-meteo-geocoding,
"Belgrano Athletic Club Ground, Buenos Aires",belgrano athletic club ground buenos aires,mapped,Buenos Aires,Buenos Aires,Buenos Aires F.D.,AR,Argentina,-34.6131,-58.3772,America/Argentina/Buenos_Aires,BM AR BS PA KY BR MX BZ,open-meteo-geocoding,
Bellerive Oval,bellerive oval,mapped,Hobart,Hobart,Tasmania,AU,Australia,-42.8794,147.3294,Australia/Hobart,AU GB LK ZA NZ IN JM TT BB GY LC VC AG GD KN DM ZW PK IE,open-meteo-geocoding,
"Bellerive Oval, Hobart",bellerive oval hobart,mapped,Hobart,Hobart,Tasmania,AU,Australia,-42.8794,147.3294,Australia/Hobart,AU GB JM TT BB GY LC VC AG GD KN DM ZW IE IN ZA PK LK BD NL,open-meteo-geocoding,
Bermuda National Stadium,bermuda national stadium,mapped,Hamilton,Hamilton,Ohio,US,United States,39.3995,-84.5613,America/New_York,US BM,open-meteo-geocoding,
Bert Sutcliffe Oval,bert sutcliffe oval,mapped,Rolleston,Rolleston,Canterbury,NZ,New Zealand,-43.5833,172.3833,Pacific/Auckland,NZ PK JM TT BB GY LC VC AG GD KN DM LK NL KE,open-meteo-geocoding,"hand-curated: Lincoln, Canterbury is not in the geocoder; placed at the nearest town it has, country pinned"
"Bert Sutcliffe Oval, Lincoln",bert sutcliffe oval lincoln,mapped,Rolleston,Rolleston,Canterbury,NZ,New Zealand,-43.5833,172.3833,Pacific/Auckland,NZ,open-meteo-geocoding,"hand-curated: Lincoln, Canterbury is not in the geocoder; placed at the nearest town it has, country pinned"
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,bharat ratna shri atal bihari vajpai ekana cricket stadium,mapped,Lucknow,Lucknow,Uttar Pradesh,IN,India,26.8393,80.9231,Asia/Kolkata,IN ZA,open-meteo-geocoding,
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,bharat ratna shri atal bihari vajpayee ekana cricket stadium,mapped,Lucknow,Lucknow,Uttar Pradesh,IN,India,26.8393,80.9231,Asia/Kolkata,IN ZA JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,bharat ratna shri atal bihari vajpayee ekana cricket stadium b,mapped,Lucknow,Lucknow,Uttar Pradesh,IN,India,26.8393,80.9231,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",bharat ratna shri atal bihari vajpayee ekana cricket stadium lucknow,mapped,Lucknow,Lucknow,Uttar Pradesh,IN,India,26.8393,80.9231,Asia/Kolkata,IN LK ZA AU NZ NL GB,open-meteo-geocoding,
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",bir sreshtho flight lieutenant matiur rahman stadium chattogram,mapped,Chattogram,Chittagong,Chittagong,BD,Bangladesh,22.3384,91.8317,Asia/Dhaka,BD JM TT BB GY LC VC AG GD KN DM IE GB AU NZ,open-meteo-geocoding,
Blacktown International Sportspark,blacktown international sportspark,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
"Blacktown International Sportspark, Sydney",blacktown international sportspark sydney,mapped,Sydney,Sydney,New South Wales,AU,Australia,-33.8678,151.2073,Australia/Sydney,AU,open-meteo-geocoding,
"Bloomfield Cricket and Athletic Club Ground, Colombo",bloomfield cricket and athletic club ground colombo,mapped,Colombo,Colombo,Western Province,LK,Sri Lanka,6.9355,79.8487,Asia/Colombo,LK,open-meteo-geocoding,
Boland Bank Park,boland bank park,mapped,Paarl,Paarl,Western Cape,ZA,South Africa,-33.7338,18.9752,Africa/Johannesburg,ZA JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Boland Bank Park, Paarl",boland bank park paarl,mapped,Paarl,Paarlo,Limburg,NL,The Netherlands,51.1433,6.0347,Europe/Amsterdam,NL IN CA LK PK,open-meteo-geocoding,
Boland Park,boland park,mapped,Paarl,Paarl,Western Cape,ZA,South Africa,-33.7338,18.9752,Africa/Johannesburg,ZA NZ ZW GB BD AU LK,open-meteo-geocoding,
"Boland Park, Paarl",boland park paarl,mapped,Paarl,Paarl,Western Cape,ZA,South Africa,-33.7338,18.9752,Africa/Johannesburg,ZA GB IN JM TT BB GY LC VC AG GD KN DM NZ IE PK AU LK,open-meteo-geocoding,
"Botkyrka Cricket Center, Stockholm",botkyrka cricket center stockholm,mapped,Stockholm,Stockholm,Stockholm County,SE,Sweden,59.3294,18.0687,Europe/Stockholm,SE AT NO FI FR PT,open-meteo-geocoding,
Botswana Cricket Association Oval 1,botswana cricket association oval 1,mapped,Gaborone,Gaborone,Gaborone,BW,Botswana,-24.6545,25.9086,Africa/Gaborone,BW LS SL NA MZ MW,open-meteo-geocoding,
"Botswana Cricket Association Oval 1, Gaborone",botswana cricket association oval 1 gaborone,mapped,Gaborone,Gaborone,Gaborone,BW,Botswana,-24.6545,25.9086,Africa/Gaborone,BW MZ RW SL LS SZ MW KE CM TZ BR ZW ZM ML NA UG,open-meteo-geocoding,
Botswana Cricket Association Oval 2,botswana cricket association oval 2,mapped,Gaborone,Gaborone,Gaborone,BW,Botswana,-24.6545,25.9086,Africa/Gaborone,NA MW LS MZ BW SL,open-meteo-geocoding,
"Botswana Cricket Association Oval 2, Gaborone",botswana cricket association oval 2 gaborone,mapped,Gaborone,Gaborone,Gaborone,BW,Botswana,-24.6545,25.9086,Africa/Gaborone,BW MZ LS SL CM SZ RW MW KE ZM NG BR ML UG NA ZW,open-meteo-geocoding,
"Boughton Hall Cricket Club Ground, Chester",boughton hall cricket club ground chester,mapped,Chester,Chester,England,GB,United Kingdom,53.1905,-2.8919,Europe/London,GB,open-meteo-geocoding,
Brabourne Stadium,brabourne stadium,mapped,Mumbai,Mumbai,Maharashtra,IN,India,19.0728,72.8826,Asia/Kolkata,IN AU GB JM TT BB GY LC VC AG GD KN DM LK NZ ZA,open-meteo-geocoding,
"Brabourne Stadium, Mumbai",brabourne stadium mumbai,mapped,Mumbai,Mumbai,Maharashtra,IN,India,19.0728,72.8826,Asia/Kolkata,IN AU,open-meteo-geocoding,
Bradman Oval,bradman oval,mapped,Bowral,Bowral,New South Wales,AU,Australia,-34.4775,150.4204,Australia/Sydney,AU JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Bradman Oval, Bowral",bradman oval bowral,mapped,Bowral,Bowral,New South Wales,AU,Australia,-34.4775,150.4204,Australia/Sydney,AU GB,open-meteo-geocoding,
Bready,bready,mapped,Derry,Derry,Connacht,IE,Ireland,53.6297,-9.8411,Europe/Dublin,ZW IE GB,open-meteo-geocoding,
"Bready Cricket Club, Magheramason",bready cricket club magheramason,mapped,Londonderry,Londonderry,Northern Ireland,GB,United Kingdom,54.9981,-7.3093,Europe/London,GB IE ZW JE HK PG US BD,open-meteo-geocoding,
"Bready Cricket Club, Magheramason, Bready",bready cricket club magheramason bready,mapped,Bready,Bready,Northern Ireland,GB,United Kingdom,54.9154,-7.4193,Europe/London,IE GB ZW AU JM TT BB GY LC VC AG GD KN DM PK,open-meteo-geocoding,
"Brian Lara Stadium, Tarouba",brian lara stadium tarouba,mapped,Trinidad,Trinidad,,TT,Trinidad and Tobago,10.4611,-61.2570,America/Port_of_Spain,JM TT BB GY LC VC AG GD KN DM US ZA,open-meteo-geocoding,
"Brian Lara Stadium, Tarouba, Trinidad",brian lara stadium tarouba trinidad,mapped,Tarouba,Tarouba,Princes Town,TT,Trinidad and Tobago,10.2748,-61.4342,America/Port_of_Spain,JM TT BB GY LC VC AG GD KN DM US PK IN NZ ZA GB UG PG,open-meteo-geocoding,
Brisbane Cricket Ground,brisbane cricket ground,mapped,Brisbane,Brisbane,Queensland,AU,Australia,-27.4679,153.0281,Australia/Brisbane,AU IN NZ ZW,open-meteo-geocoding,
"Brisbane Cricket Ground, Woolloongabba",brisbane cricket ground woolloongabba,mapped,Brisbane,Brisbane,Queensland,AU,Australia,-27.4679,153.0281,Australia/Brisbane,AU GB LK IN PK ZA NZ JM TT BB GY LC VC AG GD KN DM IE AE ZW,open-meteo-geocoding,
"Brisbane Cricket Ground, Woolloongabba, Brisbane",brisbane cricket ground woolloongabba brisbane,mapped,Brisbane,Brisbane,Queensland,AU,Australia,-27.4679,153.0281,Australia/Brisbane,AU GB IN JM TT BB GY LC VC AG GD KN DM BD ZW IE NZ ZA PK LK,open-meteo-geocoding,
"Brunton Memorial Ground, Radlett",brunton memorial ground radlett,mapped,Radlett,Radlett,England,GB,United Kingdom,51.6859,-0.3187,Europe/London,GB,open-meteo-geocoding,
Buffalo Park,buffalo park,mapped,East London,East London,Eastern Cape,ZA,South Africa,-33.0153,27.9116,Africa/Johannesburg,ZA IN ZW JM TT BB GY LC VC AG GD KN DM KE NL GB BD LK NZ,open-meteo-geocoding,
"Buffalo Park, East London",buffalo park east london,mapped,East London,East London,Eastern Cape,ZA,South Africa,-33.0153,27.9116,Africa/Johannesburg,ZA JM TT BB GY LC VC AG GD KN DM IN LK GB NZ BD IE NL CA ZW,open-meteo-geocoding,
Bulawayo Athletic Club,bulawayo athletic club,mapped,Bulawayo,Bulawayo,Bulawayo,ZW,Zimbabwe,-20.1500,28.5833,Africa/Harare,HK GB US SG PG OM AE JE UG IE NP NL,open-meteo-geocoding,country not among the archive's votes
"Bundaberg Rum Stadium, Cairns",bundaberg rum stadium cairns,mapped,Cairns,Cairns,Queensland,AU,Australia,-16.9237,145.7661,Australia/Brisbane,BD AU,open-meteo-geocoding,
"Burgher Recreation Club Ground, Colombo",burgher recreation club ground colombo,mapped,Colombo,Colombo,Western Province,LK,Sri Lanka,6.9355,79.8487,Asia/Colombo,LK,open-meteo-geocoding,
C B Patel Ground,c b patel ground,mapped,Surat,Surat,Gujarat,IN,India,21.1959,72.8302,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
Camberwell Sports Ground,camberwell sports ground,mapped,Melbourne,Melbourne,Victoria,AU,Australia,-37.8140,144.9633,Australia/Melbourne,AU,open-meteo-geocoding,
Cambusdoon New Ground,cambusdoon new ground,mapped,Ayr,Ayr,Scotland,GB,United Kingdom,55.4627,-4.6339,Europe/London,GB KE AE,open-meteo-geocoding,
"Cambusdoon New Ground, Ayr",cambusdoon new ground ayr,mapped,Ayr,Ayr,Scotland,GB,United Kingdom,55.4627,-4.6339,Europe/London,NA NP,open-meteo-geocoding,country not among the archive's votes
"Campbell Park, Milton Keynes",campbell park milton keynes,mapped,Milton Keynes,Milton Keynes,England,GB,United Kingdom,52.0417,-0.7558,Europe/London,GB,open-meteo-geocoding,
Canterbury Park,canterbury park,mapped,Bendigo,Bendigo,Victoria,AU,Australia,-36.7582,144.2802,Australia/Melbourne,VU PH ID WS,open-meteo-geocoding,country not among the archive's votes
Captain Roop Singh Stadium,captain roop singh stadium,mapped,Gwalior,Gwalior,Madhya Pradesh,IN,India,26.2298,78.1734,Asia/Kolkata,IN PK ZA,open-meteo-geocoding,
"Captain Roop Singh Stadium, Gwalior",captain roop singh stadium gwalior,mapped,Gwalior,Gwalior,Madhya Pradesh,IN,India,26.2298,78.1734,Asia/Kolkata,IN AU,open-meteo-geocoding,
Carisbrook,carisbrook,mapped,Dunedin,Dunedin,Western Cape,ZA,South Africa,-31.9667,22.4333,Africa/Johannesburg,ZA NZ,open-meteo-geocoding,
Carrara Oval,carrara oval,mapped,Carrara,Carrara,Queensland,AU,Australia,-28.0215,153.3664,Australia/Brisbane,AU IN ZA JM TT BB GY LC VC AG GD KN DM,open-meteo-geocoding,
"Casey Fields No 4, Melbourne",casey fields no 4 melbourne,mapped,Melbourne,Melbourne,Victoria,AU,Australia,-37.8140,144.9633,Australia/Melbourne,AU,open-meteo-geocoding,
Casey Fields No. 4,casey fields no 4,mapped,Melbourne,Melbourne,Victoria,AU,Australia,-37.8140,144.9633,Australia/Melbourne,AU,open-meteo-geocoding,
Castle Avenue,castle avenue,mapped,Dublin,Dublin,Leinster,IE,Ireland,53.3331,-6.2489,Europe/Dublin,GB IE JM TT BB GY LC VC AG GD KN DM BD,open-meteo-geocoding,
